Time (s),Magnetic Field x (µT),Magnetic Field y (µT),Magnetic Field z (µT),Absolute field (µT)
0.022433292,-0.852752686,-18.86786652,-42.04919434,46.09618551
0.032379292,-0.907226563,-18.83781433,-42.11328125,46.1434152
0.042324292,-1.032546997,-18.81381989,-42.14230347,46.16275245
0.052269292,-1.342773438,-19.04932404,-41.97671509,46.1164222
0.062215292,-1.227615356,-19.13796234,-41.59570313,45.80361515
0.072160292,-1.363632202,-18.82035065,-41.68457031,45.7566224
0.082106292,-1.686523438,-18.93820953,-41.55300903,45.69630949
0.092051292,-1.724899292,-18.5779953,-41.67407227,45.66010826
0.101996292,-1.754898071,-18.59095001,-41.68753052,45.6788057
0.111942292,-1.984359741,-18.55464172,-42.09921265,46.0494964
0.121887292,-2.427337646,-18.448349,-41.99945068,45.93677619
0.131832292,-2.644088745,-18.62310028,-42.04840088,46.06385878
0.141778292,-3.078933716,-18.50881195,-41.94281006,45.94839789
0.151723292,-2.823959351,-18.17107391,-41.99765015,45.84719502
0.161669292,-3.196624756,-18.27679443,-42.19818115,46.09713784
0.171614292,-3.210083008,-18.03984833,-42.13687134,45.94841332
0.181559292,-3.557144165,-17.65572357,-42.11444092,45.80397344
0.191505292,-3.827148438,-17.39447021,-42.33151245,45.92571835
0.201450292,-4.150390625,-17.35874939,-42.52059937,46.11456704
0.211395292,-4.310821533,-16.67720032,-42.65505981,46.0018078
0.221341292,-4.571273804,-16.39439392,-42.92364502,46.1747983
0.231286292,-4.772537231,-15.81937408,-43.27545166,46.32272039
0.241232292,-4.962722778,-15.70878601,-42.99105835,46.03939263
0.251177292,-5.318450928,-15.50465393,-42.86468506,45.89184502
0.261122292,-5.44128418,-15.39887238,-43.30136108,46.27894463
0.271068292,-5.254974365,-15.33513641,-43.0725708,46.02203298
0.281013292,-5.299438477,-15.24332428,-43.00622559,45.93450144
0.290958292,-5.212936401,-15.11712646,-42.61953735,45.52062371
0.300904292,-5.046081543,-15.03425598,-42.69973755,45.54952666
0.310849292,-5.278213501,-15.01663208,-43.03213501,45.88162399
0.320794292,-4.802871704,-15.09505463,-42.93041992,45.75968974
0.330740292,-4.514083862,-14.9908905,-42.95715332,45.72111955
0.340685292,-4.658950806,-14.95404053,-42.80853271,45.58398429
0.350631292,-4.590957642,-15.0688858,-42.88977051,45.69114384
0.360576292,-4.814544678,-15.07957458,-43.12127686,45.93493145
0.370521292,-4.568328857,-15.1867218,-43.31530762,46.12723731
0.380467292,-4.349472046,-15.2097702,-43.43035889,46.22175992
0.390412292,-4.431762695,-15.20635223,-43.07992554,45.8993862
0.400357292,-4.226196289,-15.48719788,-42.61322021,45.53680457
0.410303292,-4.19493103,-15.40470123,-42.9833374,45.85269415
0.420248292,-4.125854492,-15.21736908,-42.89816284,45.70386605
0.430194292,-4.013839722,-15.3757019,-42.95800781,45.8029863
0.440139292,-3.822387695,-15.52823639,-42.67913818,45.57680999
0.450084292,-3.688568115,-15.7195282,-43.11535645,46.03958148
0.460030292,-3.549942017,-15.95664215,-43.21212769,46.20069801
0.469975292,-3.572891235,-15.88301086,-43.37078857,46.32559646
0.479920292,-3.583602905,-16.17638397,-43.00216675,46.08366254
0.489866292,-3.417938232,-16.15003204,-42.53234863,45.6235303
0.499811292,-3.28187561,-15.92855835,-43.00436401,45.97678765
0.509757292,-3.370452881,-15.96022797,-43.40789795,46.37169863
0.519702292,-3.531555176,-16.16257477,-43.22268677,46.28068016
0.529647292,-3.310501099,-16.02880096,-42.85897827,45.87781486
0.539593292,-3.345581055,-16.00401306,-43.27114868,46.25703898
0.549538292,-3.345581055,-16.00401306,-43.27114868,46.25703898
0.559483292,-3.257980347,-16.08679199,-43.02508545,46.04950912
0.569429292,-3.290939331,-16.06459808,-43.08071899,46.09609465
0.579374292,-3.378097534,-16.02352905,-42.91473389,45.93298826
0.589320292,-3.281921387,-16.0013504,-43.14559937,46.13411934
0.599265292,-3.316574097,-15.9758606,-42.8163147,45.81991477
0.609210292,-3.45803833,-16.11325836,-42.75921631,45.82516452
0.619156292,-3.302566528,-15.9865799,-42.82116699,45.82717562
0.629101292,-3.170501709,-16.33513641,-42.68902588,45.8174824
0.639046292,-3.346343994,-15.94522858,-42.69509888,45.69813782
0.648992292,-3.497329712,-15.99355316,-42.8142395,45.8375846
0.658937292,-3.368804932,-16.10010529,-42.71981812,45.77712416
0.668886917,-3.290985107,-16.38087463,-43.11029053,46.23484385
0.678831917,-3.549880981,-16.5462265,-42.81161499,46.03491767
0.688776917,-3.511138916,-16.32024384,-42.90118408,46.03466141
0.698722917,-3.560516357,-16.37021637,-42.99594116,46.14447114
0.708667917,-3.255737305,-16.51743317,-42.92077637,46.10443002
0.718612917,-3.151931763,-16.64299011,-42.69812012,45.93531599
0.728558917,-3.288803101,-16.38498688,-42.89260864,46.03324773
0.738503917,-3.46105957,-16.45761871,-42.81600952,46.00046542
0.748449917,-3.304901123,-16.36937714,-42.83877563,45.97868612
0.758394917,-3.294006348,-16.24325562,-42.70663452,45.80993847
0.768339917,-3.300079346,-16.29064941,-42.78057861,45.89611845
